		Height						Weight						FOC					
		Male			Female			Male			Female			Male			Female		
Minimum age (CDC)	Rounded age	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S
67.5	68	1.242090871	112.9695827	0.043269806	-0.172221748	112.0763967	0.044708809	-1.042372125	19.8127028	0.13544409	-1.322035315	19.35149163	0.146008903	1	50.7375	0.02946	1	49.9229	0.0285
68.5	69	1.225981067	113.5090108	0.043356287	-0.184048358	112.6645943	0.044762936	-1.050254232	20.0045944	0.13620286	-1.324398133	19.54587708	0.146706813	1	50.7375	0.02946	1	49.9229	0.0285
69.5	70	1.207263978	114.0478678	0.043439893	-0.194660215	113.2518902	0.044815402	-1.058705595	20.19703171	0.136951959	-1.326064539	19.74150854	0.147412363	1	50.7375	0.02946	1	49.9229	0.0285
70.5	71	1.186140222	114.5861486	0.043520597	-0.204030559	113.8380006	0.044866288	-1.067731529	20.39001872	0.137691478	-1.327020415	19.93843145	0.148127109	1	50.7375	0.02946	1	49.9229	0.0285
71.5	72	1.162796198	115.1238315	0.043598407	-0.212174408	114.4226317	0.044915672	-1.077321193	20.58356862	0.138421673	-1.327256387	20.13669623	0.148852482	1	50.7375	0.02946	1	49.9229	0.0285
72.5	73	1.137442868	115.6608862	0.043673359	-0.219069129	115.0054978	0.044963636	-1.087471249	20.77769565	0.139142773	-1.326763834	20.33635961	0.149589838	1	50.7375	0.02946	1	49.9229	0.0285
73.5	74	1.110286487	116.1972691	0.043745523	-0.224722166	115.5863089	0.045010259	-1.098152984	20.97242631	0.139855242	-1.325538668	20.53748298	0.1503404	1	50.7375	0.02946	1	49.9229	0.0285
74.5	75	1.081536236	116.732925	0.043815003	-0.229140412	116.1647782	0.045055624	-1.10933408	21.16779192	0.140559605	-1.323579654	20.74013277	0.151105277	1	50.7375	0.02946	1	49.9229	0.0285
75.5	76	1.05140374	117.2677879	0.043881929	-0.232335686	116.7406221	0.045099817	-1.120974043	21.36383013	0.141256489	-1.320888012	20.94438028	0.151885464	1	50.7375	0.02946	1	49.9229	0.0285
76.5	77	1.020102497	117.8017819	0.043946461	-0.234324563	117.3135622	0.045142924	-1.133024799	21.56058467	0.141946613	-1.317468695	21.15030093	0.152681819	1	50.7375	0.02946	1	49.9229	0.0285
77.5	78	0.987847213	118.3348215	0.044008785	-0.235128195	117.8833259	0.045185036	-1.145431351	21.75810506	0.142630785	-1.313331446	21.35797332	0.15349505	1	50.7375	0.02946	1	49.9229	0.0285
78.5	79	0.954853043	118.8668123	0.044069112	-0.234772114	118.4496481	0.045226249	-1.158132499	21.95644627	0.143309898	-1.308487081	21.56748045	0.154325756	1	50.7375	0.02946	1	49.9229	0.0285
79.5	80	0.921334742	119.397652	0.044127675	-0.233286033	119.0122722	0.045266662	-1.171061612	22.15566842	0.143984924	-1.302948173	21.77890902	0.155174414	1	50.7375	0.02946	1	49.9229	0.0285
80.5	81	0.887505723	119.9272309	0.044184725	-0.230703633	119.5709513	0.045306383	-1.184141975	22.35583862	0.144656953	-1.296733913	21.99234686	0.15604132	1	50.7375	0.02946	1	49.9229	0.0285
81.5	82	0.85357703	120.455433	0.044240532	-0.227062344	120.1254495	0.045345524	-1.197307185	22.55702268	0.145327009	-1.289863329	22.20788541	0.156926667	1	50.7375	0.02946	1	49.9229	0.0285
82.5	83	0.819756239	120.9821362	0.044295379	-0.222403111	120.6755427	0.045384203	-1.210475099	22.75929558	0.145996289	-1.282358762	22.4256177	0.157830504	1	50.7375	0.02946	1	49.9229	0.0285
83.5	84	0.786246296	121.5072136	0.044349559	-0.216770161	121.22102	0.045422551	-1.223565263	22.9627344	0.146666	-1.274244931	22.64563824	0.158752743	1	50.7375	0.02946	1	49.9229	0.0285
84.5	85	0.753244292	122.0305342	0.044403374	-0.210210748	121.7616844	0.045460702	-1.236497304	23.16741888	0.147337375	-1.265548787	22.86804258	0.159693163	1	50.7375	0.02946	1	49.9229	0.0285
85.5	86	0.720940222	122.5519634	0.04445713	-0.202774891	122.2973542	0.045498803	-1.249186293	23.37343341	0.148011715	-1.256299378	23.09292679	0.16065141	1	50.7375	0.02946	1	49.9229	0.0285
86.5	87	0.689515708	123.0713645	0.044511135	-0.194515104	122.827864	0.045537012	-1.261555446	23.58086145	0.148690256	-1.24653066	23.32038549	0.161626956	1	50.7375	0.02946	1	49.9229	0.0285
87.5	88	0.659142731	123.588599	0.044565693	-0.185486099	123.3530652	0.045575495	-1.273523619	23.78979096	0.149374297	-1.236266832	23.55051871	0.162619308	1	50.7375	0.02946	1	49.9229	0.0285
88.5	89	0.629997853	124.1035312	0.044621104	-0.175744476	123.8728276	0.045614432	-1.285013783	24.00031064	0.150065107	-1.225551344	23.78341652	0.1636276	1	50.7375	0.02946	1	49.9229	0.0285
89.5	90	0.602203984	124.6160161	0.044677662	-0.165348396	124.38704	0.045654016	-1.295952066	24.21251028	0.150763933	-1.214410914	24.01917703	0.1646511	1	50.7375	0.02946	1	49.9229	0.0285
90.5	91	0.575908038	125.1259182	0.044735646	-0.15435722	124.8956114	0.04569445	-1.306268473	24.42648043	0.151471982	-1.202884389	24.25789074	0.165688808	1	50.7375	0.02946	1	49.9229	0.0285
91.5	92	0.55123134	125.6331012	0.044795322	-0.142831123	125.398472	0.045735953	-1.31589753	24.642312	0.152190413	-1.191007906	24.49964778	0.166739662	1	50.7375	0.02946	1	49.9229	0.0285
92.5	93	0.528279901	126.1374319	0.044856941	-0.130830669	125.895574	0.045778759	-1.324778843	24.86009596	0.152920322	-1.178818621	24.74453536	0.167802495	1	50.7375	0.02946	1	49.9229	0.0285
93.5	94	0.507143576	126.6387804	0.04492073	-0.118416354	126.3868929	0.045823114	-1.332857581	25.07992303	0.153662731	-1.166354376	24.99263735	0.168876037	1	50.7375	0.02946	1	49.9229	0.0285
94.5	95	0.487895344	127.1370217	0.044986899	-0.105648092	126.8724284	0.04586928	-1.340080195	25.30188584	0.154418635	-1.153653688	25.24403371	0.169958922	1	50.7375	0.02946	1	49.9229	0.0285
95.5	96	0.470590753	127.6320362	0.045055632	-0.092584657	127.3522056	0.045917535	-1.346412105	25.52606977	0.155188768	-1.140751404	25.49880264	0.171049756	1	50.7375	0.02946	1	49.9229	0.0285
96.5	97	0.455267507	128.1237104	0.045127088	-0.079283065	127.8262759	0.045968169	-1.351813296	25.75256528	0.155973912	-1.127684095	25.7570168	0.172147043	1	50.7375	0.02946	1	49.9229	0.0285
97.5	98	0.441945241	128.6119383	0.045201399	-0.065797888	128.2947187	0.04602149	-1.356253969	25.9814599	0.156774684	-1.114490244	26.01874261	0.173249185	1	50.7375	0.02946	1	49.9229	0.0285
98.5	99	0.430625458	129.096622	0.045278671	-0.0521805	128.757642	0.046077818	-1.359710858	26.2128399	0.157591579	-1.101204848	26.28404312	0.174354569	1	50.7375	0.02946	1	49.9229	0.0285
99.5	100	0.421291648	129.5776723	0.045358979	-0.03847825	129.2151839	0.046137487	-1.362167159	26.44679027	0.158424964	-1.087863413	26.55297507	0.175461512	1	50.7375	0.02946	1	49.9229	0.0285
100.5	101	0.413909588	130.0550101	0.045442372	-0.024733545	129.6675143	0.046200842	-1.363612378	26.68339457	0.159275071	-1.074500927	26.82558904	0.176568284	1	50.7375	0.02946	1	49.9229	0.0285
